threshold,precision,recall
0.079727,0.189076,1.000000
0.080397,0.189341,1.000000
0.080821,0.189607,1.000000
0.081031,0.189873,1.000000
0.081143,0.190141,1.000000
0.081653,0.190409,1.000000
0.081671,0.190678,1.000000
0.081827,0.190948,1.000000
0.081867,0.191218,1.000000
0.082076,0.191489,1.000000
0.082288,0.191761,1.000000
0.082661,0.192034,1.000000
0.082702,0.192308,1.000000
0.082707,0.192582,1.000000
0.082988,0.192857,1.000000
0.083022,0.193133,1.000000
0.083512,0.193410,1.000000
0.084260,0.193687,1.000000
0.084489,0.193966,1.000000
0.084569,0.194245,1.000000
0.084570,0.194524,1.000000
0.084867,0.194805,1.000000
0.085036,0.195087,1.000000
0.085420,0.195369,1.000000
0.085506,0.195652,1.000000
0.085780,0.195936,1.000000
0.085903,0.196221,1.000000
0.086540,0.196507,1.000000
0.086623,0.196793,1.000000
0.087032,0.197080,1.000000
0.087316,0.197368,1.000000
0.087377,0.197657,1.000000
0.087446,0.197947,1.000000
0.087517,0.198238,1.000000
0.087610,0.198529,1.000000
0.087611,0.198822,1.000000
0.087723,0.199115,1.000000
0.087839,0.199409,1.000000
0.088189,0.199704,1.000000
0.088367,0.200000,1.000000
0.088422,0.200297,1.000000
0.088671,0.200594,1.000000
0.088913,0.200893,1.000000
0.089097,0.201192,1.000000
0.089132,0.201493,1.000000
0.089480,0.201794,1.000000
0.089645,0.202096,1.000000
0.089661,0.202399,1.000000
0.090201,0.202703,1.000000
0.090420,0.203008,1.000000
0.090421,0.203313,1.000000
0.090556,0.203620,1.000000
0.090737,0.203927,1.000000
0.090807,0.204236,1.000000
0.090940,0.204545,1.000000
0.091205,0.204856,1.000000
0.091286,0.205167,1.000000
0.091479,0.205479,1.000000
0.091617,0.205793,1.000000
0.092495,0.206107,1.000000
0.092718,0.206422,1.000000
0.093300,0.206738,1.000000
0.093891,0.207055,1.000000
0.094326,0.207373,1.000000
0.094370,0.207692,1.000000
0.094385,0.208012,1.000000
0.094498,0.208333,1.000000
0.094504,0.208655,1.000000
0.094877,0.208978,1.000000
0.094921,0.209302,1.000000
0.094923,0.209627,1.000000
0.095142,0.209953,1.000000
0.095289,0.210280,1.000000
0.095537,0.210608,1.000000
0.095807,0.210938,1.000000
0.096379,0.211268,1.000000
0.096797,0.211599,1.000000
0.096803,0.211931,1.000000
0.097268,0.212264,1.000000
0.097467,0.212598,1.000000
0.097694,0.212934,1.000000
0.097760,0.213270,1.000000
0.097763,0.213608,1.000000
0.097812,0.213946,1.000000
0.098242,0.214286,1.000000
0.098246,0.214626,1.000000
0.098310,0.214968,1.000000
0.098313,0.215311,1.000000
0.098333,0.215655,1.000000
0.098451,0.216000,1.000000
0.098835,0.216346,1.000000
0.099074,0.216693,1.000000
0.099318,0.217042,1.000000
0.099471,0.217391,1.000000
0.099512,0.217742,1.000000
