model,curve,x,y,threshold
rules_only,pr,0.622222,0.579310,0.151000
rules_only,pr,0.622222,0.583333,0.155000
rules_only,pr,0.614815,0.580420,0.159000
rules_only,pr,0.607407,0.581560,0.162000
rules_only,pr,0.600000,0.578571,0.164000
rules_only,pr,0.592593,0.575540,0.165000
rules_only,pr,0.592593,0.579710,0.170000
rules_only,pr,0.585185,0.576642,0.171000
rules_only,pr,0.585185,0.580882,0.173000
rules_only,pr,0.585185,0.585185,0.178000
rules_only,pr,0.585185,0.589552,0.181000
rules_only,pr,0.585185,0.598485,0.200000
rules_only,pr,0.518519,0.608696,0.202000
rules_only,pr,0.518519,0.614035,0.204000
rules_only,pr,0.518519,0.619469,0.205000
rules_only,pr,0.511111,0.616071,0.207000
rules_only,pr,0.503704,0.612613,0.209000
rules_only,pr,0.496296,0.609091,0.213000
rules_only,pr,0.488889,0.605505,0.220000
rules_only,pr,0.481481,0.601852,0.229000
rules_only,pr,0.474074,0.603774,0.230000
rules_only,pr,0.466667,0.600000,0.241000
rules_only,pr,0.466667,0.605769,0.243000
rules_only,pr,0.466667,0.617647,0.245000
rules_only,pr,0.466667,0.623762,0.247000
rules_only,pr,0.466667,0.630000,0.249000
rules_only,pr,0.466667,0.636364,0.250000
rules_only,pr,0.466667,0.642857,0.253000
rules_only,pr,0.466667,0.649485,0.258000
rules_only,pr,0.451852,0.648936,0.260000
rules_only,pr,0.451852,0.655914,0.261000
rules_only,pr,0.451852,0.670330,0.262000
rules_only,pr,0.444444,0.666667,0.267000
rules_only,pr,0.444444,0.674157,0.268000
rules_only,pr,0.444444,0.681818,0.271000
rules_only,pr,0.444444,0.689655,0.272000
rules_only,pr,0.444444,0.697674,0.276000
rules_only,pr,0.437037,0.694118,0.278000
rules_only,pr,0.437037,0.702381,0.282000
rules_only,pr,0.437037,0.710843,0.284000
rules_only,pr,0.437037,0.719512,0.289000
rules_only,pr,0.437037,0.728395,0.291000
rules_only,pr,0.437037,0.737500,0.292000
rules_only,pr,0.429630,0.743590,0.293000
rules_only,pr,0.429630,0.763158,0.294000
rules_only,pr,0.429630,0.773333,0.299000
rules_only,pr,0.422222,0.770270,0.300000
rules_only,pr,0.325926,0.721311,0.302000
rules_only,pr,0.325926,0.745763,0.303000
rules_only,pr,0.325926,0.758621,0.305000
rules_only,pr,0.325926,0.771930,0.306000
rules_only,pr,0.325926,0.800000,0.307000
rules_only,pr,0.325926,0.814815,0.310000
rules_only,pr,0.325926,0.830189,0.311000
rules_only,pr,0.325926,0.846154,0.312000
rules_only,pr,0.325926,0.862745,0.314000
rules_only,pr,0.325926,0.880000,0.317000
rules_only,pr,0.325926,0.897959,0.326000
rules_only,pr,0.318519,0.895833,0.327000
rules_only,pr,0.318519,0.934783,0.330000
rules_only,pr,0.318519,0.955556,0.350000
